"","GameID","Team","Opponent","Home","Win","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS"
"202","400827988","Timberwolves","Hawks","0","1","46","80","7","15","18","22","8","32","40","27","10","5","19","18","117"
"203","400827989","Nuggets","Trail Blazers","1","1","40","77","7","19","21","32","8","39","47","20","5","7","14","20","108"
"204","400827989","Trail Blazers","Nuggets","0","0","36","91","10","29","22","27","10","29","39","20","6","3","9","22","104"
"205","400827990","Kings","Spurs","1","0","34","84","7","19","13","19","11","31","42","25","10","5","19","14","88"
"206","400827990","Spurs","Kings","0","1","46","87","6","23","8","11","8","38","46","34","11","7","16","19","106"
"207","400827991","Warriors","Pistons","1","1","43","91","12","21","11","13","13","28","41","29","13","4","16","18","109"
"208","400827991","Pistons","Warriors","0","0","40","85","6","19","9","15","12","29","41","15","9","3","20","14","95"
"209","400827992","Clippers","Grizzlies","1","1","28","68","5","19","33","37","8","32","40","14","5","8","18","20","94"
"210","400827992","Grizzlies","Clippers","0","0","35","80","2","11","20","29","10","30","40","21","11","3","14","28","92"
"211","400827993","Cavaliers","Jazz","1","1","37","74","11","24","33","43","11","24","35","24","9","6","16","21","118"
"212","400827993","Jazz","Cavaliers","0","0","40","82","10","22","24","28","13","24","37","30","11","0","16","35","114"
"213","400827994","Wizards","Thunder","1","0","38","97","5","24","20","26","12","29","41","17","8","5","8","22","101"
"214","400827994","Thunder","Wizards","0","1","44","86","15","23","22","29","10","43","53","27","4","2","12","22","125"
"215","400827995","Heat","Lakers","1","1","38","84","5","20","20","27","15","32","47","23","7","7","10","12","101"
"216","400827995","Lakers","Heat","0","0","34","77","11","22","9","12","5","31","36","21","7","7","17","21","88"
"217","400827996","Raptors","Knicks","1","0","37","84","4","17","31","39","14","35","49","25","7","6","11","17","109"
"218","400827996","Knicks","Raptors","0","1","42","95","11","23","16","18","13","31","44","22","8","7","9","27","111"
"219","400827997","Bucks","Celtics","1","0","30","73","6","17","17","23","9","32","41","14","10","2","17","18","83"
"220","400827997","Celtics","Bucks","0","1","38","86","7","30","16","19","14","31","45","21","11","6","12","18","99"
"221","400827998","Timberwolves","Hornets","1","0","36","80","9","19","14","19","10","38","48","25","6","4","22","21","95"
"222","400827998","Hornets","Timberwolves","0","1","38","78","8","26","20","27","4","30","34","18","8","5","16","20","104"
"223","400827999","Pelicans","Mavericks","1","1","46","92","14","33","14","18","9","39","48","25","9","5","11","27","120"
"224","400827999","Mavericks","Pelicans","0","0","39","88","5","20","22","26","8","36","44","20","4","4","13","17","105"
"225","400828000","Hornets","Knicks","1","1","35","84","8","23","17","28","7","26","33","21","11","5","5","9","95"
"226","400828000","Knicks","Hornets","0","0","42","86","4","21","5","7","11","41","52","20","5","5","16","24","93"
"227","400828001","Magic","Lakers","1","1","40","100","13","28","8","12","23","31","54","22","7","4","8","19","101"
"228","400828001","Lakers","Magic","0","0","39","79","7","22","14","18","7","36","43","25","5","7","13","11","99"
"229","400828002","76ers","Raptors","1","0","40","87","12","29","11","17","11","26","37","28","2","7","11","24","103"
"230","400828002","Raptors","76ers","0","1","43","89","5","18","28","31","17","39","56","22","7","7","8","18","119"
"231","400828003","Celtics","Pacers","1","0","32","77","4","24","23","32","8","28","36","18","10","3","18","26","91"
"232","400828003","Pacers","Celtics","0","1","38","79","6","17","20","31","10","31","41","20","9","6","18","28","102"
"233","400828004","Hawks","Pelicans","1","1","42","86","10","26","12","16","8","36","44","26","10","7","12","16","106"
"234","400828004","Pelicans","Hawks","0","0","37","83","14","29","10","15","8","32","40","21","6","0","19","21","98"
"235","400828005","Mavericks","Clippers","1","1","42","76","11","24","23","30","8","36","44","23","8","3","13","29","118"
"236","400828005","Clippers","Mavericks","0","0","37","86","12","27","22","33","13","28","41","21","4","2","10","24","108"
"237","400828006","Rockets","Nets","1","0","42","98","8","34","6","12","13","32","45","25","9","9","7","14","98"
"238","400828006","Nets","Rockets","0","1","42","98","8","17","14","17","20","40","60","25","5","11","11","13","106"
"239","400828007","Grizzlies","Warriors","1","0","24","70","3","15","33","36","10","31","41","15","14","5","21","26","84"
"240","400828007","Warriors","Grizzlies","0","1","36","75","11","27","17","23","7","29","36","22","12","8","23","30","100"
"241","400828008","Nuggets","Bucks","1","1","39","79","8","24","17","24","14","22","36","27","10","6","14","12","103"
"242","400828008","Bucks","Nuggets","0","0","42","79","10","22","8","9","8","25","33","26","8","4","16","23","102"
"243","400828009","Kings","Pistons","1","1","37","74","9","16","18","24","7","39","46","20","7","2","18","20","101"
"244","400828009","Pistons","Kings","0","0","34","89","9","32","15","20","14","31","45","16","10","3","16","20","92"
"245","400828010","Trail Blazers","Spurs","1","0","39","88","9","22","14","23","10","26","36","26","6","3","9","15","101"
"246","400828010","Spurs","Trail Blazers","0","1","46","82","7","15","14","18","8","34","42","27","4","4","11","21","113"
"247","400828011","Heat","Jazz","1","1","36","77","4","13","16","25","8","39","47","14","6","11","15","20","92"
"248","400828011","Jazz","Heat","0","0","34","89","4","17","19","25","11","31","42","13","10","9","10","23","91"
"249","400828012","Timberwolves","Warriors","1","0","43","87","3","9","27","36","15","32","47","21","4","1","13","18","116"
"250","400828012","Warriors","Timberwolves","0","1","48","89","18","38","15","16","6","27","33","34","8","7","11","25","129"
"251","400828013","Suns","Clippers","1","1","44","83","14","30","16","21","9","37","46","22","10","3","19","23","118"
"252","400828013","Clippers","Suns","0","0","40","90","9","26","15","28","12","25","37","17","13","3","14","17","104"
"253","400828014","Pacers","Timberwolves","1","1","41","86","10","25","15","23","12","28","40","23","9","5","11","9","107"
"254","400828014","Timberwolves","Pacers","0","0","42","83","7","20","12","13","8","31","39","16","5","0","15","19","103"
"255","400828015","Magic","Jazz","1","1","32","76","10","27","28","31","10","35","45","20","11","11","20","20","102"
